!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
               13                4               60             0.00            46.54
               13                5               60             0.00            46.54
               13                6               60             0.00            46.54
               13                7               60            10.95            46.54
               13                8               60             4.19            35.59
               13                9               60            10.19            31.40
               13               10               60             9.87            21.21
               13               11               60             4.01            11.34
               13               12               60             3.14             7.33
               13                1               60             4.19             4.19
               13                2               60             0.00             0.00
               13                3               60             0.00             0.00
               14                4               60             0.00             3.15
               14                5               60             0.00             3.15
               14                6               60             0.00             3.15
               14                7               60             0.00             3.15
               14                8               60             0.00             3.15
               14                9               60             0.00             3.15
               14               10               60             0.00             3.15
               14               11               60             0.85             3.15
               14               12               60             0.59             2.30
               14                1               60             0.59             1.72
               14                2               60             0.47             1.13
               14                3               60             0.66             0.66
               15                4               60             0.04             0.73
               15                5               60             0.03             0.68
               15                6               60             0.04             0.65
               15                7               60             0.04             0.62
               15                8               60             0.07             0.57
               15                9               60             0.08             0.50
               15               10               60             0.08             0.42
               15               11               60             0.08             0.33
               15               12               60             0.08             0.25
               15                1               60             0.07             0.17
               15                2               60             0.05             0.09
               15                3               60             0.05             0.05
               16                4               60             0.00           647.65
               16                5               60             0.00           647.65
               16                6               60             0.00           647.65
               16                7               60             0.00           647.65
               16                8               60            21.85           647.65
               16                9               60           130.86           625.80
               16               10               60           178.38           494.94
               16               11               60           172.56           316.56
               16               12               60            59.01           144.00
               16                1               60            39.62            84.99
               16                2               60            26.81            45.37
               16                3               60            18.57            18.57
               17                4               60             0.00           141.54
               17                5               60             0.00           141.54
               17                6               60             0.00           141.54
               17                7               60             0.00           141.54
               17                8               60            35.47           141.54
               17                9               60            13.83           106.07
               17               10               60             4.83            92.24
               17               11               60            37.74            87.41
               17               12               60            21.47            49.67
               17                1               60            15.00            28.20
               17                2               60             7.73            13.20
               17                3               60             5.46             5.46
               18                4               60             0.00            62.19
               18                5               60             0.00            62.19
               18                6               60             0.00            62.19
               18                7               60             0.00            62.19
               18                8               60            12.64            62.19
               18                9               60            11.84            49.55
               18               10               60            11.62            37.72
               18               11               60             9.28            26.10
               18               12               60             7.27            16.81
               18                1               60             5.18             9.55
               18                2               60             3.24             4.37
               18                3               60             1.13             1.13
               19                4               60             0.00            82.41
               19                5               60             0.00            82.41
               19                6               60             0.00            82.41
               19                7               60             0.00            82.41
               19                8               60             0.00            82.41
               19                9               60            22.16            82.41
               19               10               60            28.06            60.26
               19               11               60            16.62            32.19
