!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
               29               11               60             0.90             7.22
               29               12               60             0.61             6.32
               29                1               60             1.92             5.71
               29                2               60             1.91             3.79
               29                3               60             1.87             1.87
               30                4               60             1.37            92.60
               30                5               60             1.37            91.23
               30                6               60             5.97            89.86
               30                7               60             6.20            83.89
               30                8               60             7.99            77.69
               30                9               60             7.96            69.70
               30               10               60            10.38            61.75
               30               11               60            11.43            51.37
               30               12               60            11.29            39.95
               30                1               60            11.29            28.66
               30                2               60            11.74            17.37
               30                3               60             5.63             5.63
               31                4               60             0.00            28.80
               31                5               60             0.47            28.80
               31                6               60             2.74            28.33
               31                7               60             3.05            25.59
               31                8               60             3.15            22.54
               31                9               60             3.05            19.39
               31               10               60             3.15            16.34
               31               11               60             3.15            13.19
               31               12               60             3.05            10.04
               31                1               60             3.15             6.99
               31                2               60             2.67             3.83
               31                3               60             1.17             1.17
               32                4               60             0.46            13.14
               32                5               60             0.01            12.68
               32                6               60             1.02            12.68
               32                7               60             1.32            11.66
               32                8               60             1.32            10.34
               32                9               60             1.35             9.02
               32               10               60             1.37             7.67
               32               11               60             1.18             6.30
               32               12               60             1.26             5.12
               32                1               60             1.43             3.86
